Datetime,btc,eth,usdt,bnb,ada,xrp,doge,dot,usdc,icp,bch,matic,uni,ltc,link,xlm,etc,sol,busd,vet,wbtc,theta,eos,trx,fil,aave,shib,xmr,dai,neo,klay,okb,ceth,atom,mkr,cro,bsv,cusdc,miota,cake,rune,xtz,ftt,algo,cdai,safemoon,cel,ksm,ht,btt,luna,AVAX,comp,hbar,leo,snx,dash,egld,sushi,ust,tel,amp,hot,dcr,xem,yfi,zec,waves,tfuel,enj,zil,nexo,chz,near,pax,tusd,hbtc,qtum,hnt,btg,steth,bat,mana,zen,stx,dgb,nano,fei,ont,grt,sc,one,bnt,husd,omg,chsb,ftm,zrx,uma,xsushi
2021-02-23,1012091985973.46,204731064486.91,34756738533.76,41355468790.23,35028892675.36,26315783830.38,6873239454.79,36345028065.36,8032612636.10,,11777638565.77,750493582.82,8280636144.04,13862481747.57,12936540431.35,10530317908.63,1631379053.92,3751426598.92,2244503088.14,3253217240.56,6678928380.46,3356055517.68,4511424830.43,3907594356.52,2146856903.19,4993628566.89,0.00,4032717770.65,2368499489.79,3361062956.04,0.00,5465784561.37,2308503911.28,5022113135.57,2160580454.15,5306699945.39,4050882973.28,1805841540.42,3643864167.90,1680597271.20,1056460191.28,3275737365.47,2972324122.99,923668654.72,2353354453.51,,2084303461.09,2435714267.26,4168714246.61,1121281262.39,2985056620.95,2493656100.22,1834608999.27,989731812.13,1785166879.64,3081258654.02,2727340451.98,2182048943.63,2118047866.03,586177310.87,184039724.06,949305353.92,614579708.59,1983639451.63,6558817746.18,1376731663.52,1571166753.05,1066252226.22,0.00,506303239.49,1451551926.34,1301995328.11,255969247.03,1109275506.06,775849775.66,348367704.72,1184727222.34,661141861.05,254774006.80,602533233.79,312701522.35,804904122.98,359800438.20,734743417.64,716585052.93,975330048.76,843582232.26,,971288962.86,2473689361.08,584354507.08,246618312.27,717892741.88,601810995.96,781932133.03,941305450.59,1143277472.98,1154236145.18,1333481434.06,1043474456.84
2021-02-24,904133801444.53,179691686731.15,34896050919.74,35160048230.52,30289508304.79,21616170566.95,6103500677.28,33192737847.94,8125731411.27,,9554097643.72,676445011.86,7329621210.89,11684789134.49,10475822420.37,8667389754.77,1307241812.05,4014384609.49,2143582956.67,2706993816.74,5982868469.80,3042434158.17,3641982069.90,3207398948.54,1924240469.64,4493589284.63,0.00,3912843260.91,2303952211.15,2702101215.66,0.00,4564497957.90,1965449600.44,4802772357.88,1982788606.56,3776225772.70,3490577317.54,1825098240.84,2988780325.72,1499929641.57,1139059153.82,2681234472.62,2497666652.92,811308947.21,2211531434.61,,1960277722.59,2130680168.85,3466558310.95,890039184.72,2817034981.85,2096206453.74,1636661207.60,864485418.15,1884251219.28,2635512311.03,2304525768.10,1876297203.60,1862272975.49,591479770.19,194260765.41,801719846.35,522145597.12,1764304530.20,4794162511.58,1150156636.08,1359701135.26,930443935.11,0.00,411013074.39,1223694010.11,1127352978.59,223204829.93,981514301.68,828467524.11,344389759.68,1062444168.29,523771969.48,228493203.07,474293564.91,271660314.84,698038520.06,306032973.21,559598063.49,772237821.40,798552879.71,681755321.98,,783796924.81,2038196885.73,494248287.96,194117756.29,605738461.86,644394575.40,651406041.58,892903266.71,1109793139.60,1200944714.08,1210757424.15,922042738.81
2021-02-25,929081504353.55,185843232352.39,35055733490.15,39273073153.54,33843111261.46,21552614418.59,7332961500.88,32697522066.64,8404744817.24,,9829727723.77,797591288.30,7586409970.83,12077580347.39,11477133664.85,9133335438.51,1381520263.57,4630153132.81,2266352241.54,2777312497.80,6118527830.07,3332914754.81,3724819614.76,3443446098.69,2010058408.66,4566911713.40,0.00,3686656796.61,2324728000.06,2880978017.21,0.00,5101442452.39,2006128856.71,4675636339.80,2011496737.20,3938896100.73,3633165134.99,1746515004.31,3302611040.14,1717731649.21,1160158239.04,2692106873.65,2669158042.99,857287559.88,2214948440.06,,1963103428.89,2181793016.75,3616193758.33,951282259.62,2835092345.92,2281061933.70,1877886695.66,945661620.22,1849438967.52,2815902510.78,2388494006.11,2015029987.51,1867338305.37,609048879.26,189562174.97,952309289.35,558382933.34,1824801207.34,4803612641.83,1180975249.77,1433433986.90,980901272.12,0.00,448944189.35,1326608252.40,1174917982.07,275341683.08,1077019746.50,858634719.08,348969184.40,1084725943.58,549385991.84,257275425.77,494132381.45,292656427.09,769154561.72,330774891.31,563437355.59,1002683911.29,828518046.72,764705606.73,,811206340.24,2305020295.51,512200268.27,218956437.35,635124971.38,675518062.10,665375210.83,880491022.32,1680905335.50,1145796014.96,1247843275.08,914258735.93
2021-02-26,875883932252.44,168658293547.98,34953515263.39,36653635808.82,35020140015.71,19755041198.64,6454021311.80,30403400398.56,8448299264.70,,9433427593.82,910956096.13,7007917770.10,11963649830.61,10272200501.17,8530332995.66,1275112545.45,3670715311.02,2293193194.38,2599444671.24,5859692808.42,2993900169.89,3552505667.16,3262510548.62,1910955685.27,4215497366.88,0.00,3514740097.25,2334553910.18,2699222717.70,0.00,4683745573.83,1848467315.98,4262040243.26,1833762236.16,3785053539.12,3469969313.86,1803860092.60,3116306767.36,1490872507.07,1073173838.83,2592264789.20,2533044749.35,796617023.49,2280793882.09,,1873213722.03,2032736958.49,3212095029.92,873677068.51,2547105991.45,2061682046.38,1731387287.42,891286949.17,1887601404.60,2723645673.18,2210570762.58,1976492259.84,1832753042.96,628633240.88,173352768.08,882947496.79,532266786.99,1796450468.51,4461773641.87,1099382242.03,1355480480.96,964595007.08,0.00,506630596.21,1302232261.83,1120333905.40,267966506.16,1152525048.16,860837566.33,344434944.81,1128353373.75,534893515.24,266856746.52,470912405.30,271158609.09,723219758.92,355461632.32,534667416.34,969434257.14,783683312.99,690552991.73,,765555699.33,2107347735.65,481281201.95,234197941.26,566078600.42,693884654.88,643238899.76,853561834.67,1614495565.33,1062359136.13,1126620435.19,1096600731.35
2021-02-27,869070614247.86,167151176870.98,35297886361.62,34347801258.49,39925051371.21,19740260345.52,6487737133.94,30323219597.91,8885825463.25,,9126917707.98,941019561.49,7166061055.36,11442259564.30,10357485415.00,8938832486.65,1258318508.91,3630663218.35,2331415848.44,2574440044.48,5726515480.41,3073420041.51,3397336918.70,3253119066.47,1941888070.55,4022944579.04,0.00,3660442087.00,2314997564.80,2663902979.95,0.00,4506051380.59,1666520861.17,4449239356.29,1773620172.38,3731275801.16,3385499066.85,1821698375.35,3132521269.05,1401626957.31,1033930223.33,2654039454.14,2466834332.82,784649022.91,2277964971.70,,1845859385.49,1963131688.99,2875304889.60,840434336.73,2422370633.40,2002068863.91,1732434033.97,879487953.35,1944717905.41,2671024082.87,2094260470.04,2114332160.52,1962640045.55,656411129.56,181653414.64,867327461.15,502403031.46,1609057329.29,4596923345.93,1106759310.98,1285697078.35,952578581.55,0.00,538876058.74,1290497937.69,1127816874.17,270566056.24,1267490193.70,889901629.41,352983991.10,1103611800.75,535579406.02,279852409.14,461924281.25,263018409.72,785246805.33,327394341.62,499178221.88,927922589.81,766759659.50,687718293.69,,725452633.12,2105436962.73,461235406.61,260092015.58,555121700.42,715883718.75,620782545.80,832221151.20,1327030173.15,987167083.02,1116558143.53,1093764708.87
2021-02-28,869649724200.58,167833687528.28,35019017695.77,34863282195.09,42146907598.95,20027896981.23,6538921364.48,32494177264.13,8973026510.16,,9018871844.01,981241021.57,7245382879.30,11533650378.83,10731331021.65,9936914165.16,1297040980.58,3502097092.03,2344524967.40,2654302417.29,5680325610.99,3147601125.34,3523024228.74,3361443306.27,2110732695.98,4183297674.45,0.00,3753550256.19,2322934279.66,2649140150.62,0.00,4937749408.39,1685911435.17,4593635356.44,1791968838.58,3654328459.37,3468445775.11,1869759261.19,3184951153.05,1345828632.22,1063332595.45,2773855938.74,2446704218.58,880679022.74,2332238551.37,,1763999678.26,2063647873.68,3008044985.02,840593529.83,2439288647.51,2004032045.23,1737799853.49,883385090.32,1964628230.32,2783728029.44,2115474172.22,2342088535.89,2089335061.96,674569399.97,176739848.02,859422436.48,473242835.67,1727373420.38,5168193805.00,1129212109.82,1309165213.76,963339692.27,0.00,529941975.44,1365935529.32,1130608243.44,285235063.85,1214539713.61,883331281.63,340182552.15,1090312415.14,547354501.61,275697992.15,462614946.04,264637341.60,769673110.36,336727271.96,506710962.52,913950339.98,755064092.67,684759072.56,,738942724.53,2082799539.31,476039096.56,234991939.89,565976400.04,708931902.66,632536102.84,817346013.45,1181467744.65,997017624.98,1144202215.71,1192285566.08
2021-03-01,838307614585.19,163289758568.54,35168931968.61,32747054923.74,42022774483.53,18911825797.22,6201387146.83,32724468747.05,9003494922.92,,8619269696.05,1117749256.19,6884169920.45,11051377799.75,10178574421.96,9196138609.17,1206770759.78,3482110143.45,2360178552.01,2594732294.60,5602017977.54,3147795602.42,3317921581.31,3272912690.59,2003104136.50,4402379408.12,0.00,3884159218.66,2355458416.68,2493395944.24,0.00,4294449746.27,1665487767.41,4234947494.70,1842414279.21,3277053504.76,3309184277.44,1873924046.42,3131231522.95,1198220081.45,1034858216.09,2608055243.90,2308279159.24,827323064.59,2444936888.92,,1798238571.01,1926187922.08,2567126772.28,755204614.70,2194952454.04,1842530857.78,1743235015.13,860705808.05,1842959772.32,2771073983.18,1959424042.20,2242120307.59,1928023781.59,692211929.46,178897192.38,813673018.91,440777089.18,1703320914.45,5439133760.01,1090143107.67,1214881967.78,892750328.31,0.00,536832722.50,1270805924.68,1147766792.29,272015307.62,1156809180.34,890294505.15,305732198.50,1079705735.57,504998645.35,300765961.15,424030063.23,257558423.02,783598752.30,317024102.11,459620021.86,869077876.47,729521945.16,671794010.15,,685490920.88,1929983574.49,453421641.71,227170177.18,544650605.75,724984133.52,600999016.11,805656312.37,1072596088.67,911833723.00,1089149097.96,1115104320.41
2021-03-02,928146793676.43,179885012253.06,35205221027.28,39775549289.62,41594037335.68,20552651911.18,6561571713.10,34482548793.08,9053683777.00,,9347884172.94,1235048770.68,7871644853.56,11736789430.31,11348074149.35,9733871938.95,1290405419.94,3973508157.32,2550248444.39,2965368762.57,6142242015.35,3285741644.38,3538553149.91,3429250085.57,2164153550.19,4751222094.40,0.00,4094244021.90,2462539958.90,2693436652.69,0.00,4860248240.25,1868473088.45,4436392775.88,1959551205.37,3624676915.69,3464992817.99,1909720933.30,3356154651.44,1635768127.54,1224014754.03,2779364113.26,2662025194.18,873689735.34,2520398445.15,,1875409293.83,2040057297.01,2716137627.00,826056624.22,2735089218.09,2110163404.19,2142570644.73,938990897.00,2030832480.95,3045019436.49,2214725359.71,2401831662.33,2362757781.21,707076386.79,191189007.68,869071016.55,502974716.58,1887330143.85,5946735805.78,1237768545.83,1339704887.21,953357242.38,0.00,648398882.72,1360643266.48,1239340669.01,301545367.44,1274371576.62,1030449568.11,293852407.09,1216062124.10,543675560.10,300841273.71,471387824.56,283798158.03,876834517.94,351730223.22,503633017.36,908337056.76,829352433.24,706673594.79,,737522784.26,2320697237.98,483821818.48,272009013.90,610831803.54,890832993.89,646149959.77,859869499.92,1505596122.59,1016431465.86,1167721352.07,1310824809.73
2021-03-03,905413239164.91,172017777678.30,35648335234.61,37318077555.56,39334338629.34,20062243305.49,6517554437.52,35162491056.99,8959115661.79,,9672897038.16,1138010871.08,7938770686.18,11870420880.44,11709144525.41,9468462863.10,1271821425.02,3703367097.58,2845172512.88,2848965530.51,5981353301.59,3740967899.86,3516768023.04,3370887597.81,2153057387.88,4878410878.39,0.00,3951211260.26,2526670519.52,2659231185.26,0.00,4647393191.74,1900429103.47,4508752066.10,1953752918.80,3725338699.97,3468295948.91,1938242090.72,3294022653.89,1508396248.21,1220586497.28,2817148012.41,2637282196.51,871510734.40,2654340911.64,,1736344150.65,2186703026.13,2728322061.29,802086102.52,2650616885.44,2094263115.86,2175708690.01,928811546.39,1846750455.28,3286295601.26,2166051212.48,2328078857.00,2273567692.40,719032690.70,179054031.16,833933220.54,476926572.43,1827607387.43,6927124581.70,1188118747.99,1313777342.52,945666357.13,0.00,748041237.04,1348011900.94,1186393377.65,353447657.09,1230766268.31,1026285051.51,295303524.89,1178445670.90,536603722.59,290725525.25,471268965.17,273014655.54,892496847.87,369684409.37,512168857.36,1065226768.70,808074831.37,679594240.70,,743999601.48,2237801593.67,478797296.11,265949839.60,625786391.12,863473425.04,655637669.02,853711023.97,1342630098.61,1016332552.82,1191768540.54,1248021625.82
2021-03-04,942969910364.18,182133382817.64,35849578088.01,37511795342.75,39107972070.43,20695029438.92,6527074840.47,36037615291.31,8823613106.81,,9839354904.04,1122561779.71,7933740066.48,12584125746.76,12367778863.69,9511801208.29,1314892868.51,3742765612.84,2808384147.91,3482830363.00,6281904488.14,3992477601.38,3681485644.74,3530824412.64,2406002229.81,4948726824.16,0.00,3939259752.57,2529513594.22,2811661003.05,0.00,4645675347.02,1991232658.29,5225002711.97,1995892756.99,3803813377.82,3540343260.44,1995812045.53,3438415476.96,1601910641.76,1339795219.21,2962520217.47,2792485712.53,958815966.39,2613402222.39,,1799260171.10,2226725570.16,2861503624.46,817936026.43,2952700665.52,2114222657.42,2154214746.92,964114814.82,1852360568.22,3363008857.94,2261610792.42,2460440350.25,2240010691.82,725186555.23,195106468.70,883466826.07,481017376.90,1887108991.27,7149259129.20,1210977398.51,1397590172.18,994852821.51,0.00,1118498623.24,1506049882.15,1296274660.78,464033740.64,1286205536.87,978688481.40,294983923.85,1227339689.55,556051518.82,302162456.70,496166909.58,276033518.01,1153572050.43,453332019.12,516311679.10,1105217979.67,827569893.84,726050265.85,,837362998.81,2429881929.43,506795468.69,283443382.52,742363218.15,811089848.25,685518875.02,896059841.10,1345629050.92,1102094774.03,1237871380.74,1225640515.74
